OverallRating,SentimentScore,count
2.1,-0.6597,1
8.8,0.3089,1
1.2,-0.2755,1
8.7,0.6908,1
8.8,-0.3412,1
5.3,0.4466,1
9.8,0.5574,1
7.5,0.7316,1
2.1,-0.5267,1
9.5,0.6705,1
7.8,-0.323,1
2.8,0.4951,1
4.6,0.5563,1
4.6,0.7351,1
2.4,-0.2411,1
2.0,-0.5095,1
0.2,0.6369,1
1.3,-0.2732,1
6.8,-0.34,1
0.2,-0.6318,1
0.3,-0.6361,1
0.9,-0.5358,1
8.3,0.7184,1
1.9,0.0516,1
1.3,-0.4576,1
8.3,0.4754,1
6.7,0.5413,1
6.7,0.7269,1
1.4,-0.2411,1
8.9,0.7717,1
4.6,0.2023,1
8.9,0.2382,1
8.2,0.5413,2
9.1,0.7184,1
9.0,0.7906,1
3.4,-0.1695,1
10.0,0.7184,1
1.1,-0.7096,1
10.0,0.7906,1
4.7,0.2057,1
1.2,-0.5095,1
2.8,0.4019,3
3.4,-0.5256,1
7.8,0.7269,1
5.8,0.7845,1
0.3,-0.624,1
3.9,-0.7818,1
1.7,0.6486,1
7.5,0.4754,1
9.4,0.5413,1
5.2,-0.4391,1
6.1,0.7845,1
8.9,0.7184,2
7.5,0.431,1
8.5,0.6115,1
2.7,-0.8283,1
1.3,-0.2755,1
1.4,-0.34,1
2.9,0.7351,1
1.2,-0.4877,1
1.2,-0.5256,1
0.9,0.0772,2
2.3,0.2748,1
2.2,-0.188,1
2.8,-0.3412,1
9.3,0.5994,1
1.5,-0.4023,1
1.4,-0.8481,1
9.9,0.5984,1
9.2,0.6124,1
1.9,-0.7096,1
10.0,0.3384,1
1.3,-0.4201,1
3.2,0.6666,1
5.0,-0.3804,1
7.1,0.6115,1
5.4,0.1786,1
7.8,0.4601,1
5.2,0.7089,1
6.1,0.7579,1
4.8,-0.7269,1
5.8,0.4201,1
8.7,0.7269,1
1.1,-0.1511,1
7.0,0.6779,1
9.4,0.7996,1
2.3,-0.5413,1
8.2,0.765,1
2.2,-0.5095,1
4.1,-0.4391,1
1.4,-0.7351,1
6.2,0.2111,1
0.1,0.3089,1
2.5,-0.4023,2
3.4,-0.3167,1
0.3,-0.5267,1
0.5,-0.4391,1
1.6,-0.7579,1
9.2,0.5859,1
7.5,0.6779,1
1.0,-0.101,1
9.0,0.6486,1
2.6,-0.2263,1
0.5,-0.4201,1
8.1,0.4703,1
0.3,-0.7184,1
3.6,-0.4585,1
4.6,-0.3804,1
8.8,0.7233,1
1.0,-0.5423,1
8.0,0.7184,1
7.2,0.743,1
8.0,0.6801,1
9.0,0.5267,1
0.0,-0.6115,1
8.2,0.7717,1
1.1,-0.34,1
1.7,-0.1511,1
9.7,0.5994,1
5.4,0.4199,1
6.7,-0.4228,1
6.5,-0.3875,1
9.6,0.3089,1
10.0,0.5709,1
9.1,0.2247,1
2.6,0.3252,1
1.0,0.4522,1
1.0,-0.2263,1
0.3,0.4914,1
7.0,0.1027,1
9.1,0.7485,1
3.4,-0.4201,1
1.1,-0.6808,1
2.6,-0.5095,1
4.1,-0.0516,1
2.8,-0.4389,1
10.0,0.7501,1
1.3,0.3252,1
1.2,0.0772,1
4.1,-0.2411,1
3.5,0.3597,1
7.5,0.4466,1
6.9,-0.43,1
7.5,0.7269,1
4.8,0.3008,1
2.0,-0.5267,1
8.8,0.6369,1
3.6,-0.4019,1
1.6,-0.5849,1
5.3,0.0564,1
10.0,0.5984,1
1.8,-0.2023,1
0.9,-0.6705,1
6.8,-0.1027,1
8.5,-0.1027,1
0.3,-0.2057,1
1.6,0.743,1
3.3,0.431,1
3.1,0.3875,1
3.3,-0.2755,1
4.0,0.5423,1
0.0,-0.2484,1
7.5,0.7096,1
5.8,0.5849,1
3.5,-0.6597,1
4.4,-0.4168,1
5.7,0.0,9
7.8,0.4215,1
5.4,-0.2732,1
1.1,0.5719,1
7.7,0.6124,1
2.1,0.0,14
8.5,0.6249,1
3.2,-0.5256,2
8.7,0.4939,1
2.0,-0.4767,1
0.1,-0.5256,2
4.9,-0.2732,1
3.5,-0.6249,3
9.5,0.6249,1
5.1,0.4939,1
0.0,-0.4767,2
